"phenx","icd10_desc","combo","organ","subcombo"
"Coronary atherosclerosis and other heart disease","Atherosclerosis of bypass graft of coronary artery of transplanted heart without angina pectoris","Coronary atherosclerosis","Cardiovascular",NA
"Coronary atherosclerosis and other heart disease","Atherosclerosis of coronary artery bypass graft(s) without angina pectoris","Coronary atherosclerosis","Cardiovascular",NA
"Coronary atherosclerosis and other heart disease","Atherosclerosis of native coronary artery of transplanted heart with unstable angina","Coronary atherosclerosis","Cardiovascular",NA
"Coronary atherosclerosis and other heart disease","Atherosclerosis of native coronary artery of transplanted heart without angina pectoris","Coronary atherosclerosis","Cardiovascular",NA
"Coronary atherosclerosis and other heart disease","Atherosclerotic heart disease of native coronary artery with angina pectoris with documented spasm","Coronary atherosclerosis","Cardiovascular",NA
"Coronary atherosclerosis and other heart disease","Atherosclerotic heart disease of native coronary artery with other forms of angina pectoris","Coronary atherosclerosis","Cardiovascular",NA
"Coronary atherosclerosis and other heart disease","Atherosclerotic heart disease of native coronary artery with unspecified angina pectoris","Coronary atherosclerosis","Cardiovascular",NA
"Coronary atherosclerosis and other heart disease","Atherosclerotic heart disease of native coronary artery with unstable angina pectoris","Coronary atherosclerosis","Cardiovascular",NA
"Coronary atherosclerosis and other heart disease","Atherosclerotic heart disease of native coronary artery without angina pectoris","Coronary atherosclerosis","Cardiovascular",NA
"Coronary atherosclerosis and other heart disease","Chronic ischemic heart disease, unspecified","Coronary atherosclerosis","Cardiovascular",NA
"Coronary atherosclerosis and other heart disease","Chronic total occlusion of coronary artery","Coronary atherosclerosis","Cardiovascular",NA
"Coronary atherosclerosis and other heart disease","Coronary angioplasty status","Coronary atherosclerosis","Cardiovascular",NA
"Coronary atherosclerosis and other heart disease","Coronary atherosclerosis due to calcified coronary lesion","Coronary atherosclerosis","Cardiovascular",NA
"Coronary atherosclerosis and other heart disease","Coronary atherosclerosis due to lipid rich plaque","Coronary atherosclerosis","Cardiovascular",NA
"Coronary atherosclerosis and other heart disease","Old myocardial infarction","Coronary atherosclerosis","Cardiovascular",NA
"Coronary atherosclerosis and other heart disease","Other forms of acute ischemic heart disease","Coronary atherosclerosis","Cardiovascular",NA
"Coronary atherosclerosis and other heart disease","Other forms of angina pectoris","Coronary atherosclerosis","Cardiovascular",NA
"Coronary atherosclerosis and other heart disease","Presence of aortocoronary bypass graft","Coronary atherosclerosis","Cardiovascular",NA
"Coronary atherosclerosis and other heart disease","Presence of coronary angioplasty implant and graft","Coronary atherosclerosis","Cardiovascular",NA
"Coronary atherosclerosis and other heart disease","Unstable angina","Coronary atherosclerosis","Cardiovascular",NA
"Diabetes mellitus, Type 2","Type 2 diabetes mellitus with diabetic peripheral angiopathy without gangrene","Diabetic Complication","Cardiovascular",NA
"Diabetes mellitus, Type 2","Type 2 diabetes mellitus with other circulatory complications","Diabetic Complication","Cardiovascular",NA
"HTN; heart","Hypertensive heart disease with heart failure","HTN heart dz","Cardiovascular",NA
"HTN; heart","Hypertensive heart disease without heart failure","HTN heart dz","Cardiovascular",NA
"Heart failure","Acute combined systolic (congestive) and diastolic (congestive) heart failure","Heart failure","Cardiovascular",NA
"Heart failure","Acute diastolic (congestive) heart failure","Heart failure","Cardiovascular",NA
"Heart failure","Acute on chronic combined systolic (congestive) and diastolic (congestive) heart failure","Heart failure","Cardiovascular",NA
"Heart failure","Acute on chronic diastolic (congestive) heart failure","Heart failure","Cardiovascular",NA
"Heart failure","Acute on chronic systolic (congestive) heart failure","Heart failure","Cardiovascular",NA
"Heart failure","Acute systolic (congestive) heart failure","Heart failure","Cardiovascular",NA
"Heart failure","Chronic combined systolic (congestive) and diastolic (congestive) heart failure","Heart failure","Cardiovascular",NA
"Heart failure","Chronic diastolic (congestive) heart failure","Heart failure","Cardiovascular",NA
"Heart failure","Chronic systolic (congestive) heart failure","Heart failure","Cardiovascular",NA
