phenx,ICD10_desc,combo,Organ,count,Subcombo
Fluid and electrolyte disorders,Hyperosmolality and hypernatremia,Fluid/electrolyte disorders,Systemic,30,
Fluid and electrolyte disorders,Hypo-osmolality and hyponatremia,Fluid/electrolyte disorders,Systemic,164,
Fluid and electrolyte disorders,Hypokalemia,Fluid/electrolyte disorders,Systemic,142,
Fluid and electrolyte disorders,Hypovolemia,Fluid/electrolyte disorders,Systemic,42,
Fluid and electrolyte disorders,Mixed disorder of acid-base balance,Fluid/electrolyte disorders,Systemic,3,
Fluid and electrolyte disorders,"Other disorders of electrolyte and fluid balance, not elsewhere classified",Fluid/electrolyte disorders,Systemic,24,
Fluid and electrolyte disorders,Other fluid overload,Fluid/electrolyte disorders,Systemic,13,
Fluid and electrolyte disorders,"Volume depletion, unspecified",Fluid/electrolyte disorders,Systemic,5,
General sensation/perception signs and symptoms,Dizziness and giddiness,General s/s,Systemic,557,Dizziness
General sensation/perception signs and symptoms,Other symptoms and signs involving general sensations and perceptions,General s/s,Systemic,6,Other
General sensation/perception signs and symptoms,Unspecified symptoms and signs involving general sensations and perceptions,General s/s,Systemic,3,Other
Malaise and fatigue,"Chronic fatigue, unspecified",Malaise and fatigue,Systemic,85,
Malaise and fatigue,Other fatigue,Malaise and fatigue,Systemic,595,
Malaise and fatigue,Other malaise,Malaise and fatigue,Systemic,310,
Malaise and fatigue,Weakness,Malaise and fatigue,Systemic,159,
Nutritional deficiencies,Ascorbic acid deficiency,Nutritional deficiencies,Systemic,3,
Nutritional deficiencies,Copper deficiency,Nutritional deficiencies,Systemic,1,
Nutritional deficiencies,Deficiency of other specified B group vitamins,Nutritional deficiencies,Systemic,146,
Nutritional deficiencies,Deficiency of other specified nutrient elements,Nutritional deficiencies,Systemic,1,
Nutritional deficiencies,Dietary zinc deficiency,Nutritional deficiencies,Systemic,7,
Nutritional deficiencies,Iron deficiency,Nutritional deficiencies,Systemic,85,
Nutritional deficiencies,Magnesium deficiency,Nutritional deficiencies,Systemic,4,
Nutritional deficiencies,"Nutritional deficiency, unspecified",Nutritional deficiencies,Systemic,17,
Nutritional deficiencies,Other ocular manifestations of vitamin A deficiency,Nutritional deficiencies,Systemic,1,
Nutritional deficiencies,Other specified nutritional deficiencies,Nutritional deficiencies,Systemic,5,
Nutritional deficiencies,Pyridoxine deficiency,Nutritional deficiencies,Systemic,3,
Nutritional deficiencies,"Thiamine deficiency, unspecified",Nutritional deficiencies,Systemic,2,
Nutritional deficiencies,"Vitamin A deficiency, unspecified",Nutritional deficiencies,Systemic,3,
Nutritional deficiencies,"Vitamin B deficiency, unspecified",Nutritional deficiencies,Systemic,1,
Nutritional deficiencies,"Vitamin D deficiency, unspecified",Nutritional deficiencies,Systemic,549,
Nutritional deficiencies,"Vitamin deficiency, unspecified",Nutritional deficiencies,Systemic,76,
Nutritional deficiencies,Wernicke's encephalopathy,Nutritional deficiencies,Systemic,3,
Other general signs and symptoms,Abnormal posture,General s/s,Systemic,31,Other
Other general signs and symptoms,Abnormal weight gain,General s/s,Systemic,623,Weight Gain
Other general signs and symptoms,Abnormal weight loss,General s/s,Systemic,816,Weight Loss
Other general signs and symptoms,Adult failure to thrive,General s/s,Systemic,210,FTT
Other general signs and symptoms,Age-related physical debility,General s/s,Systemic,127,FTT
Other general signs and symptoms,Anorexia,General s/s,Systemic,140,Weight Loss
Other general signs and symptoms,Aphonia,General s/s,Systemic,8,Other
Other general signs and symptoms,Cachexia,General s/s,Systemic,43,Weight Loss
Other general signs and symptoms,Chills (without fever),General s/s,Systemic,101,Chills
Other general signs and symptoms,Clubbing of fingers,General s/s,Systemic,3,Other
Other general signs and symptoms,Cramp and spasm,General s/s,Systemic,303,Cramp/Spasm
Other general signs and symptoms,Decreased libido,General s/s,Systemic,82,Low libido
Other general signs and symptoms,Dysphonia,General s/s,Systemic,552,Dysphonia
Other general signs and symptoms,Early satiety,General s/s,Systemic,73,Early Satiety
Other general signs and symptoms,"Edema, unspecified",General s/s,Systemic,503,Edema
Other general signs and symptoms,"Enlarged lymph nodes, unspecified",General s/s,Systemic,134,Lymphadenopathy
Other general signs and symptoms,Failure to thrive (child),General s/s,Systemic,8,FTT
Other general signs and symptoms,Feeding difficulties,General s/s,Systemic,8,FTT
Other general signs and symptoms,Generalized edema,General s/s,Systemic,33,Edema
Other general signs and symptoms,Generalized enlarged lymph nodes,General s/s,Systemic,150,Lymphadenopathy
Other general signs and symptoms,Generalized hyperhidrosis,General s/s,Systemic,227,Hyperhidrosis
Other general signs and symptoms,Hyponasality,General s/s,Systemic,1,Other
Other general signs and symptoms,"Hypothermia, not associated with low environmental temperature",General s/s,Systemic,2,Other
Other general signs and symptoms,Ill-defined and unknown cause of mortality,General s/s,Systemic,2,Other
Other general signs and symptoms,"Illness, unspecified",General s/s,Systemic,200,Illness
Other general signs and symptoms,Localized edema,General s/s,Systemic,1299,Edema
Other general signs and symptoms,Localized enlarged lymph nodes,General s/s,Systemic,498,Lymphadenopathy
Other general signs and symptoms,Loss of height,General s/s,Systemic,28,Other
Other general signs and symptoms,Other general symptoms and signs,General s/s,Systemic,316,Other
Other general signs and symptoms,Other lack of expected normal physiological development in childhood,General s/s,Systemic,1,Other
Other general signs and symptoms,Other symptoms and signs concerning food and fluid intake,General s/s,Systemic,73,Other
Other general signs and symptoms,Other voice and resonance disorders,General s/s,Systemic,24,Other
Other general signs and symptoms,"Pain, unspecified",General s/s,Systemic,1305,Pain
Other general signs and symptoms,Polydipsia,General s/s,Systemic,20,Other
Other general signs and symptoms,Polyphagia,General s/s,Systemic,20,Other
Other general signs and symptoms,Repeated falls,General s/s,Systemic,195,Falls
Other general signs and symptoms,Short stature (child),General s/s,Systemic,5,Other
Other general signs and symptoms,Systemic inflammatory response syndrome (SIRS) of non-infectious origin without acute organ dysfunction,General s/s,Systemic,10,Other
Other general signs and symptoms,Underweight,General s/s,Systemic,70,Weight Loss
Other general signs and symptoms,Unspecified lack of expected normal physiological development in childhood,General s/s,Systemic,51,Other
Other general signs and symptoms,Unspecified voice and resonance disorder,General s/s,Systemic,29,Other
Sleep wake disorders,Adjustment insomnia,Sleep disorders,Systemic,24,
Sleep wake disorders,Central sleep apnea in conditions classified elsewhere,Sleep disorders,Systemic,3,
Sleep wake disorders,"Circadian rhythm sleep disorder, delayed sleep phase type",Sleep disorders,Systemic,4,
Sleep wake disorders,"Circadian rhythm sleep disorder, jet lag type",Sleep disorders,Systemic,1,
Sleep wake disorders,"Circadian rhythm sleep disorder, shift work type",Sleep disorders,Systemic,5,
Sleep wake disorders,"Circadian rhythm sleep disorder, unspecified type",Sleep disorders,Systemic,8,
Sleep wake disorders,Confusional arousals,Sleep disorders,Systemic,1,
Sleep wake disorders,"Hypersomnia, unspecified",Sleep disorders,Systemic,11,
Sleep wake disorders,Idiopathic sleep related nonobstructive alveolar hypoventilation,Sleep disorders,Systemic,21,
Sleep wake disorders,Insomnia due to medical condition,Sleep disorders,Systemic,14,
Sleep wake disorders,Insomnia due to other mental disorder,Sleep disorders,Systemic,12,
Sleep wake disorders,"Insomnia, unspecified",Sleep disorders,Systemic,262,
Sleep wake disorders,Narcolepsy without cataplexy,Sleep disorders,Systemic,2,
Sleep wake disorders,Nightmare disorder,Sleep disorders,Systemic,10,
Sleep wake disorders,Obstructive sleep apnea (adult) (pediatric),Sleep disorders,Systemic,469,
Sleep wake disorders,Other hypersomnia,Sleep disorders,Systemic,40,
Sleep wake disorders,Other insomnia,Sleep disorders,Systemic,48,
Sleep wake disorders,Other insomnia not due to a substance or known physiological condition,Sleep disorders,Systemic,1,
Sleep wake disorders,Other sleep apnea,Sleep disorders,Systemic,4,
Sleep wake disorders,Other sleep disorders,Sleep disorders,Systemic,15,
Sleep wake disorders,Other sleep disorders not due to a substance or known physiological condition,Sleep disorders,Systemic,1,
Sleep wake disorders,Paradoxical insomnia,Sleep disorders,Systemic,1,
Sleep wake disorders,"Parasomnia, unspecified",Sleep disorders,Systemic,3,
Sleep wake disorders,Periodic breathing,Sleep disorders,Systemic,1,
Sleep wake disorders,Periodic limb movement disorder,Sleep disorders,Systemic,16,
Sleep wake disorders,Primary central sleep apnea,Sleep disorders,Systemic,5,
Sleep wake disorders,Primary insomnia,Sleep disorders,Systemic,73,
Sleep wake disorders,Psychophysiologic insomnia,Sleep disorders,Systemic,20,
Sleep wake disorders,REM sleep behavior disorder,Sleep disorders,Systemic,3,
Sleep wake disorders,"Sleep apnea, unspecified",Sleep disorders,Systemic,156,
Sleep wake disorders,"Sleep disorder, unspecified",Sleep disorders,Systemic,117,
Sleep wake disorders,Sleep related bruxism,Sleep disorders,Systemic,3,
Sleep wake disorders,Sleep related leg cramps,Sleep disorders,Systemic,4,
Sleep wake disorders,Sleep terrors [night terrors],Sleep disorders,Systemic,1,
Sleep wake disorders,Sleepwalking [somnambulism],Sleep disorders,Systemic,4,
Biliary tract disease,Acute cholecystitis,Biliary ,GI,21,
Biliary tract disease,Acute cholecystitis with chronic cholecystitis,Biliary ,GI,3,
Biliary tract disease,"Calculus of bile duct with cholangitis, unspecified, without obstruction",Biliary ,GI,1,
Biliary tract disease,"Calculus of bile duct with cholecystitis, unspecified, without obstruction",Biliary ,GI,1,
Biliary tract disease,Calculus of bile duct without cholangitis or cholecystitis with obstruction,Biliary ,GI,3,
Biliary tract disease,Calculus of bile duct without cholangitis or cholecystitis without obstruction,Biliary ,GI,32,
Biliary tract disease,Calculus of gallbladder and bile duct with acute and chronic cholecystitis without obstruction,Biliary ,GI,1,
Biliary tract disease,Calculus of gallbladder and bile duct with acute cholecystitis without obstruction,Biliary ,GI,1,
Biliary tract disease,Calculus of gallbladder and bile duct without cholecystitis with obstruction,Biliary ,GI,1,
Biliary tract disease,Calculus of gallbladder and bile duct without cholecystitis without obstruction,Biliary ,GI,10,
Biliary tract disease,Calculus of gallbladder with acute and chronic cholecystitis without obstruction,Biliary ,GI,1,
Biliary tract disease,Calculus of gallbladder with acute cholecystitis with obstruction,Biliary ,GI,1,
Biliary tract disease,Calculus of gallbladder with acute cholecystitis without obstruction,Biliary ,GI,8,
Biliary tract disease,Calculus of gallbladder with chronic cholecystitis without obstruction,Biliary ,GI,12,
Biliary tract disease,Calculus of gallbladder with other cholecystitis without obstruction,Biliary ,GI,1,
Biliary tract disease,Calculus of gallbladder without cholecystitis with obstruction,Biliary ,GI,3,
Biliary tract disease,Calculus of gallbladder without cholecystitis without obstruction,Biliary ,GI,147,
Biliary tract disease,"Cholecystitis, unspecified",Biliary ,GI,21,
Biliary tract disease,Cholesterolosis of gallbladder,Biliary ,GI,41,
Biliary tract disease,Chronic cholecystitis,Biliary ,GI,9,
Biliary tract disease,"Disease of biliary tract, unspecified",Biliary ,GI,5,
Biliary tract disease,"Disease of gallbladder, unspecified",Biliary ,GI,5,
Biliary tract disease,Obstruction of bile duct,Biliary ,GI,33,
Biliary tract disease,Other cholelithiasis without obstruction,Biliary ,GI,6,
Biliary tract disease,Other specified diseases of biliary tract,Biliary ,GI,48,
Biliary tract disease,Other specified diseases of gallbladder,Biliary ,GI,52,
Biliary tract disease,Postcholecystectomy syndrome,Biliary ,GI,1,
Abdominal symptoms,Aphagia,Abdominal s/s,GI,3,Aphagia
Abdominal symptoms,Change in bowel habit,Abdominal s/s,GI,35,Bowel habit change
Abdominal symptoms,"Diarrhea, unspecified",Abdominal s/s,GI,237,Diarrhea
Abdominal symptoms,Epigastric pain,Abdominal s/s,GI,193,Pain
Abdominal symptoms,Fecal urgency,Abdominal s/s,GI,1,Bowel habit change
Abdominal symptoms,Flatulence,Abdominal s/s,GI,6,Flatulence
Abdominal symptoms,Full incontinence of feces,Abdominal s/s,GI,12,Incontinence
Abdominal symptoms,Heartburn,Abdominal s/s,GI,34,Heartburn
Abdominal symptoms,Other fecal abnormalities,Abdominal s/s,GI,55,Bowel habit change
Abdominal symptoms,Other specified symptoms and signs involving the digestive system and abdomen,Abdominal s/s,GI,41,Other
Abdominal symptoms,Visible peristalsis,Abdominal s/s,GI,1,Other
Abnormal findings without diagnosis,Abnormal cytological findings in specimens from other digestive organs and abdominal cavity,Abnormal Labs/Tests,GI,2,
Abnormal findings without diagnosis,Abnormal findings on diagnostic imaging of other parts of digestive tract,Abnormal Labs/Tests,GI,28,
Abnormal findings without diagnosis,Atypical squamous cells of undetermined significance on cytologic smear of anus (ASC-US),Abnormal Labs/Tests,GI,2,
Abnormal findings without diagnosis,Low grade squamous intraepithelial lesion on cytologic smear of anus (LGSIL),Abnormal Labs/Tests,GI,2,
Abnormal findings without diagnosis,Other abnormal cytological findings on specimens from anus,Abnormal Labs/Tests,GI,1,
Abnormal findings without diagnosis,Unspecified abnormal cytological findings in specimens from anus,Abnormal Labs/Tests,GI,1,
Dysphagia,"Dysphagia, oral phase",Dysphagia,GI,1,
Dysphagia,"Dysphagia, oropharyngeal phase",Dysphagia,GI,127,
Dysphagia,"Dysphagia, pharyngeal phase",Dysphagia,GI,7,
Dysphagia,"Dysphagia, pharyngoesophageal phase",Dysphagia,GI,18,
Dysphagia,"Dysphagia, unspecified",Dysphagia,GI,282,
Dysphagia,Other dysphagia,Dysphagia,GI,79,
Esophageal disorders,"Barrett's esophagus with dysplasia, unspecified",Esophageal disorders,GI,2,
Esophageal disorders,Barrett's esophagus with low grade dysplasia,Esophageal disorders,GI,2,
Esophageal disorders,Barrett's esophagus without dysplasia,Esophageal disorders,GI,19,
Esophageal disorders,Candidal esophagitis,Esophageal disorders,GI,7,
Esophageal disorders,"Disease of esophagus, unspecified",Esophageal disorders,GI,12,
Esophageal disorders,Dyskinesia of esophagus,Esophageal disorders,GI,14,
Esophageal disorders,Eosinophilic esophagitis,Esophageal disorders,GI,20,
Esophageal disorders,Esophageal obstruction,Esophageal disorders,GI,16,
Esophageal disorders,"Esophagitis, unspecified",Esophageal disorders,GI,3,
Esophageal disorders,Gastro-esophageal laceration-hemorrhage syndrome,Esophageal disorders,GI,3,
Esophageal disorders,Gastro-esophageal reflux disease with esophagitis,Esophageal disorders,GI,3,
Esophageal disorders,Gastro-esophageal reflux disease without esophagitis,Esophageal disorders,GI,786,
Esophageal disorders,Other specified diseases of esophagus,Esophageal disorders,GI,25,
Esophageal disorders,Ulcer of esophagus with bleeding,Esophageal disorders,GI,3,
Esophageal disorders,Ulcer of esophagus without bleeding,Esophageal disorders,GI,11,
Nausea and vomiting,Bilious vomiting,Abdominal s/s,GI,11,Nausea and vomiting
Nausea and vomiting,Nausea,Abdominal s/s,GI,212,Nausea and vomiting
Nausea and vomiting,"Nausea with vomiting, unspecified",Abdominal s/s,GI,254,Nausea and vomiting
Nausea and vomiting,Projectile vomiting,Abdominal s/s,GI,1,Nausea and vomiting
Nausea and vomiting,Vomiting without nausea,Abdominal s/s,GI,4,Nausea and vomiting
Nausea and vomiting,"Vomiting, unspecified",Abdominal s/s,GI,48,Nausea and vomiting
Other specified and unspecified gastrointestinal disorders,Celiac disease,GI disorder,GI,14,Celiac
Other specified and unspecified gastrointestinal disorders,"Constipation, unspecified",Abdominal s/s,GI,338,Constipation
Other specified and unspecified gastrointestinal disorders,"Disease of digestive system, unspecified",GI disorder,GI,2,Other
Other specified and unspecified gastrointestinal disorders,"Disease of intestine, unspecified",GI disorder,GI,21,Intestinal disease
Other specified and unspecified gastrointestinal disorders,"Disorder of peritoneum, unspecified",GI disorder,GI,2,Other
Other specified and unspecified gastrointestinal disorders,Fistula of intestine,GI disorder,GI,2,Other
Other specified and unspecified gastrointestinal disorders,Functional diarrhea,Abdominal s/s,GI,22,Diarrhea
Other specified and unspecified gastrointestinal disorders,"Functional intestinal disorder, unspecified",GI disorder,GI,1,Intestinal disease
Other specified and unspecified gastrointestinal disorders,Hemoperitoneum,GI disorder,GI,8,Hemoperitoneum
Other specified and unspecified gastrointestinal disorders,"Intestinal malabsorption, unspecified",GI disorder,GI,15,Intestinal disease
Other specified and unspecified gastrointestinal disorders,Irritable bowel syndrome with diarrhea,GI disorder,GI,22,IBS
Other specified and unspecified gastrointestinal disorders,Irritable bowel syndrome without diarrhea,GI disorder,GI,33,IBS
Other specified and unspecified gastrointestinal disorders,"Neurogenic bowel, not elsewhere classified",GI disorder,GI,6,Other
Other specified and unspecified gastrointestinal disorders,Other constipation,Abdominal s/s,GI,72,Constipation
Other specified and unspecified gastrointestinal disorders,Other disorders of retroperitoneum,GI disorder,GI,1,Other
Other specified and unspecified gastrointestinal disorders,Other intestinal malabsorption,GI disorder,GI,11,Intestinal disease
Other specified and unspecified gastrointestinal disorders,Other specified diseases of intestine,GI disorder,GI,88,Intestinal disease
Other specified and unspecified gastrointestinal disorders,Other specified diseases of the digestive system,GI disorder,GI,10,Other
Other specified and unspecified gastrointestinal disorders,Other specified disorders of peritoneum,GI disorder,GI,14,Other
Other specified and unspecified gastrointestinal disorders,Other specified functional intestinal disorders,GI disorder,GI,2,Intestinal disease
Other specified and unspecified gastrointestinal disorders,Other vascular disorders of intestine,GI disorder,GI,1,Intestinal disease
Other specified and unspecified gastrointestinal disorders,Outlet dysfunction constipation,Abdominal s/s,GI,5,Constipation
Other specified and unspecified gastrointestinal disorders,Peritoneal adhesions (postprocedural) (postinfection),GI disorder,GI,9,Other
Other specified and unspecified gastrointestinal disorders,Slow transit constipation,Abdominal s/s,GI,53,Constipation
Other specified and unspecified gastrointestinal disorders,Ulcer of intestine,GI disorder,GI,8,Intestinal disease
Other specified and unspecified gastrointestinal disorders,"Vascular disorder of intestine, unspecified",GI disorder,GI,7,Intestinal disease
Regional enteritis and ulcerative colitis,Crohn's disease of both small and large intestine without complications,GI disorder,GI,3,IBD
Regional enteritis and ulcerative colitis,Crohn's disease of large intestine with rectal bleeding,GI disorder,GI,1,IBD
Regional enteritis and ulcerative colitis,Crohn's disease of large intestine with unspecified complications,GI disorder,GI,1,IBD
Regional enteritis and ulcerative colitis,Crohn's disease of large intestine without complications,GI disorder,GI,5,IBD
Regional enteritis and ulcerative colitis,Crohn's disease of small intestine with other complication,GI disorder,GI,1,IBD
Regional enteritis and ulcerative colitis,Crohn's disease of small intestine with rectal bleeding,GI disorder,GI,2,IBD
Regional enteritis and ulcerative colitis,Crohn's disease of small intestine without complications,GI disorder,GI,14,IBD
Regional enteritis and ulcerative colitis,"Crohn's disease, unspecified, with unspecified complications",GI disorder,GI,3,IBD
Regional enteritis and ulcerative colitis,"Crohn's disease, unspecified, without complications",GI disorder,GI,1,IBD
Regional enteritis and ulcerative colitis,Inflammatory polyps of colon without complications,GI disorder,GI,2,IBD
Regional enteritis and ulcerative colitis,Left sided colitis without complications,GI disorder,GI,3,IBD
Regional enteritis and ulcerative colitis,Other ulcerative colitis with rectal bleeding,GI disorder,GI,1,IBD
Regional enteritis and ulcerative colitis,Ulcerative (chronic) pancolitis with rectal bleeding,GI disorder,GI,1,IBD
Regional enteritis and ulcerative colitis,Ulcerative (chronic) pancolitis with unspecified complications,GI disorder,GI,2,IBD
Regional enteritis and ulcerative colitis,Ulcerative (chronic) pancolitis without complications,GI disorder,GI,6,IBD
Regional enteritis and ulcerative colitis,Ulcerative (chronic) proctitis with rectal bleeding,GI disorder,GI,3,IBD
Regional enteritis and ulcerative colitis,Ulcerative (chronic) proctitis with unspecified complications,GI disorder,GI,1,IBD
Regional enteritis and ulcerative colitis,Ulcerative (chronic) proctitis without complications,GI disorder,GI,5,IBD
Regional enteritis and ulcerative colitis,Ulcerative (chronic) rectosigmoiditis with rectal bleeding,GI disorder,GI,2,IBD
Regional enteritis and ulcerative colitis,Ulcerative (chronic) rectosigmoiditis without complications,GI disorder,GI,4,IBD
Regional enteritis and ulcerative colitis,"Ulcerative colitis, unspecified with rectal bleeding",GI disorder,GI,2,IBD
Regional enteritis and ulcerative colitis,"Ulcerative colitis, unspecified with unspecified complications",GI disorder,GI,3,IBD
Regional enteritis and ulcerative colitis,"Ulcerative colitis, unspecified, without complications",GI disorder,GI,11,IBD
Abdominal symptoms,Abdominal distension (gaseous),Abdominal s/s,GI,146,Distension
Abdominal symptoms,"Abdominal tenderness, unspecified site",Abdominal s/s,GI,2,Pain
Abdominal symptoms,Acute abdomen,Abdominal s/s,GI,5,Pain
Abdominal symptoms,Colic,Abdominal s/s,GI,1,Pain
Abdominal symptoms,Epigastric abdominal tenderness,Abdominal s/s,GI,2,Pain
Abdominal symptoms,Eructation,Abdominal s/s,GI,17,Other
Abdominal symptoms,Gas pain,Abdominal s/s,GI,8,Pain
Abdominal symptoms,Generalized abdominal pain,Abdominal s/s,GI,83,Pain
Abdominal symptoms,Halitosis,Abdominal s/s,GI,1,Other
Abdominal symptoms,"Left lower quadrant abdominal swelling, mass and lump",Abdominal s/s,GI,1,Other
Abdominal symptoms,Left lower quadrant pain,Abdominal s/s,GI,76,Pain
Abdominal symptoms,Left upper quadrant abdominal tenderness,Abdominal s/s,GI,1,Pain
Abdominal symptoms,Left upper quadrant pain,Abdominal s/s,GI,44,Pain
Abdominal symptoms,Left upper quadrant rebound abdominal tenderness,Abdominal s/s,GI,1,Pain
Abdominal symptoms,"Lower abdominal pain, unspecified",Abdominal s/s,GI,67,Pain
Abdominal symptoms,Other ascites,Abdominal s/s,GI,32,Ascites
Abdominal symptoms,"Periumbilic swelling, mass or lump",Abdominal s/s,GI,1,Pain
Abdominal symptoms,Periumbilical pain,Abdominal s/s,GI,22,Pain
Abdominal symptoms,"Right lower quadrant abdominal swelling, mass and lump",Abdominal s/s,GI,2,Pain
Abdominal symptoms,Right lower quadrant abdominal tenderness,Abdominal s/s,GI,2,Pain
Abdominal symptoms,Right lower quadrant pain,Abdominal s/s,GI,84,Pain
Abdominal symptoms,"Right upper quadrant abdominal swelling, mass and lump",Abdominal s/s,GI,3,Pain
Abdominal symptoms,Right upper quadrant pain,Abdominal s/s,GI,102,Pain
Abdominal symptoms,Unspecified abdominal pain,Abdominal s/s,GI,398,Pain
Abdominal symptoms,Unspecified jaundice,Abdominal s/s,GI,29,Jaundice
Abdominal symptoms,"Upper abdominal pain, unspecified",Abdominal s/s,GI,27,Pain
Abnormal findings without diagnosis,"Abnormal findings on diagnostic imaging of other abdominal regions, including retroperitoneum",Abnormal Labs/Tests,GI,12,
Gastrointestinal System Procedures,NA,GI Procedures,GI,28,
Abdominal symptoms,"Hepatomegaly with splenomegaly, not elsewhere classified",Liver,GI,2,
Abdominal symptoms,"Hepatomegaly, not elsewhere classified",Liver,GI,15,
Abnormal findings without diagnosis,Abnormal findings on diagnostic imaging of liver and biliary tract,Liver,GI,6,
Abnormal findings without diagnosis,Abnormal results of liver function studies,Liver,GI,68,
Abnormal findings without diagnosis,Nonspecific elevation of levels of transaminase and lactic acid dehydrogenase [LDH],Liver,GI,10,
Other specified and unspecified liver disease,Alcoholic cirrhosis of liver with ascites,Liver,GI,5,
Other specified and unspecified liver disease,Alcoholic cirrhosis of liver without ascites,Liver,GI,5,
Other specified and unspecified liver disease,Alcoholic fatty liver,Liver,GI,2,
Other specified and unspecified liver disease,"Alcoholic liver disease, unspecified",Liver,GI,2,
Other specified and unspecified liver disease,Chronic passive congestion of liver,Liver,GI,2,
Other specified and unspecified liver disease,"Fatty (change of) liver, not elsewhere classified",Liver,GI,277,
Other specified and unspecified liver disease,Hepatic veno-occlusive disease,Liver,GI,1,
Other specified and unspecified liver disease,"Inflammatory liver disease, unspecified",Liver,GI,13,
Other specified and unspecified liver disease,Liver and biliary tract disorders in childbirth,Liver,GI,2,
Other specified and unspecified liver disease,"Liver and biliary tract disorders in pregnancy, second trimester",Liver,GI,3,
Other specified and unspecified liver disease,"Liver and biliary tract disorders in pregnancy, third trimester",Liver,GI,5,
Other specified and unspecified liver disease,"Liver and biliary tract disorders in pregnancy, unspecified trimester",Liver,GI,1,
Other specified and unspecified liver disease,"Liver disease, unspecified",Liver,GI,116,
Other specified and unspecified liver disease,Other cirrhosis of liver,Liver,GI,6,
Other specified and unspecified liver disease,Other specified diseases of liver,Liver,GI,52,
Other specified and unspecified liver disease,Other specified inflammatory liver diseases,Liver,GI,4,
Other specified and unspecified liver disease,Phlebitis of portal vein,Liver,GI,1,
Other specified and unspecified liver disease,Portal hypertension,Liver,GI,6,
Other specified and unspecified liver disease,Primary biliary cirrhosis,Liver,GI,3,
Other specified and unspecified liver disease,"Toxic liver disease, unspecified",Liver,GI,1,
Other specified and unspecified liver disease,Unspecified cirrhosis of liver,Liver,GI,23,
Abdominal symptoms,"Splenomegaly, not elsewhere classified",Spleen,GI,43,
Other specified and unspecified hematologic conditions,Infarction of spleen,Spleen,GI,1,
Abdominal symptoms,"Generalized intra-abdominal and pelvic swelling, mass and lump",Abdominal s/s,Gynecology/Pelvis,1,Swelling/mass
Abdominal symptoms,"Intra-abdominal and pelvic swelling, mass and lump, unspecified site",Abdominal s/s,Gynecology/Pelvis,30,Swelling/mass
Abdominal symptoms,"Other intra-abdominal and pelvic swelling, mass and lump",Abdominal s/s,Gynecology/Pelvis,13,Swelling/mass
Abdominal symptoms,Pelvic and perineal pain,Abdominal s/s,Gynecology/Pelvis,161,Pain
Abnormal findings without diagnosis,Abnormal microbiological findings in specimens from female genital organs,Abnormal Labs/Tests,Gynecology/Pelvis,1,
Abnormal findings without diagnosis,Anal high risk human papillomavirus (HPV) DNA test positive,Abnormal Labs/Tests,Gynecology/Pelvis,1,
Abnormal findings without diagnosis,Atypical squamous cells cannot exclude high grade squamous intraepithelial lesion on cytologic smear of cervix (ASC-H),Abnormal Labs/Tests,Gynecology/Pelvis,2,
Abnormal findings without diagnosis,Atypical squamous cells of undetermined significance on cytologic smear of cervix (ASC-US),Abnormal Labs/Tests,Gynecology/Pelvis,29,
Abnormal findings without diagnosis,Atypical squamous cells of undetermined significance on cytologic smear of vagina (ASC-US),Abnormal Labs/Tests,Gynecology/Pelvis,3,
Abnormal findings without diagnosis,Cervical high risk human papillomavirus (HPV) DNA test positive,Abnormal Labs/Tests,Gynecology/Pelvis,26,
Abnormal findings without diagnosis,Elevated cancer antigen 125 [CA 125],Abnormal Labs/Tests,Gynecology/Pelvis,1,
Abnormal findings without diagnosis,High grade squamous intraepithelial lesion on cytologic smear of cervix (HGSIL),Abnormal Labs/Tests,Gynecology/Pelvis,1,
Abnormal findings without diagnosis,High grade squamous intraepithelial lesion on cytologic smear of vagina (HGSIL),Abnormal Labs/Tests,Gynecology/Pelvis,1,
Abnormal findings without diagnosis,Low grade squamous intraepithelial lesion on cytologic smear of cervix (LGSIL),Abnormal Labs/Tests,Gynecology/Pelvis,13,
Abnormal findings without diagnosis,Low grade squamous intraepithelial lesion on cytologic smear of vagina (LGSIL),Abnormal Labs/Tests,Gynecology/Pelvis,1,
Abnormal findings without diagnosis,Other abnormal cytological findings on specimens from cervix uteri,Abnormal Labs/Tests,Gynecology/Pelvis,3,
Abnormal findings without diagnosis,Other abnormal findings in specimens from female genital organs,Abnormal Labs/Tests,Gynecology/Pelvis,1,
Abnormal findings without diagnosis,Unsatisfactory cytologic smear of cervix,Abnormal Labs/Tests,Gynecology/Pelvis,4,
Abnormal findings without diagnosis,Unspecified abnormal cytological findings in specimens from cervix uteri,Abnormal Labs/Tests,Gynecology/Pelvis,13,
Abnormal findings without diagnosis,Unspecified abnormal cytological findings in specimens from vagina,Abnormal Labs/Tests,Gynecology/Pelvis,2,
Abnormal findings without diagnosis,Vaginal high risk human papillomavirus (HPV) DNA test positive,Abnormal Labs/Tests,Gynecology/Pelvis,1,
Diabetes mellitus,"Gestational diabetes mellitus in pregnancy, diet controlled",Gestational Diabetes,Gynecology/Pelvis,2,
Diabetes mellitus,"Gestational diabetes mellitus in pregnancy, unspecified control",Gestational Diabetes,Gynecology/Pelvis,1,
Other specified and unspecified diseases of kidney and ureters,"Pregnancy related renal disease, second trimester",Pregnancy Renal dz,Gynecology/Pelvis,1,
